BUGS.coinbase-spend-permissions-audit.sp-repo	coinbase/spend-permissions	main	e0004e63e
BUGS.ens-contracts	ensdomains/ens-contracts	staging	121dc232d
BUGS.euler-v2-recon.euler-price-oracle	euler-xyz/euler-price-oracle	master	e70739b17
BUGS.euler-v2-recon.euler-vault-kit	euler-xyz/euler-vault-kit	master	e88274cc6
BUGS.granite-audit.core-v1	GraniteProtocol/core-v1	master	feeeba10a
BUGS.pendle-v2	pendle-finance/pendle-core-v2-public	main	87685c89d
BUGS.reserve-fillers	reserve-protocol/trusted-fillers	main	5ca2633ca
BUGS.sbtc-audit	stacks-network/sbtc	main	ee7ec0076
BUGS.spark-immunefi.spark-psm	marsfoundation/spark-psm	master	2b1a72a7c
D-cve.alchemix-v3.repo	alchemix-finance/v3	master	c08969e97
D-cve.lombard.evm-smart-contracts	lombard-finance/evm-smart-contracts	main	7fe83e56f
D-cve.stacks.stacks-core	stacks-network/stacks-core	main	7ed6d4be8
D-cve.strata.repo	Strata-Markets/contracts	tranches	2be97f9b2
D-cve.tenbin.repo	tenbinlabs/tenbin-contracts	master	1cc87102a
D-cve.termstructure.termmax-contract-v2	term-structure/termmax-contract-v2	main	e314f3f84
D-cve.cosmos.evm	cosmos/evm	main	bb9b0e969
BUGS.reserve-governor-audit.repo	reserve-protocol/reserve-governor	main	dc27a68
BUGS.reserve-index-dtf	reserve-protocol/reserve-index-dtf	main	7d97c8070
BUGS.symbiotic-v2.core	symbioticfi/core	main	25a065a3d
BUGS.alchemy-ma2.repo	alchemyplatform/modular-account	develop	ab9c0c247
BUGS.avalanche.libevm	ava-labs/libevm	main	ab188047d
BUGS.rootstock.lps	rsksmart/liquidity-provider-server	master	50ade6215
BUGS.midas.contracts-evm	midas-apps/contracts	main	c9bfcf0c7
BUGS.midas.contracts-solana	midas-apps/contracts-solana	main	58381c285
BUGS.stackingdao.contracts	StackingDAO/contracts	main	a8d7d2a2d
