BUGS.1inch-aqua-audit.aqua	1inch/aqua	main	81c26e4
BUGS.alphasec-audit.tbc-ref	OffchainLabs/token-bridge-contracts	main	0746a71
BUGS.anthropic-claude-code-audit.claude-code	anthropics/claude-code	main	2962ecd
BUGS.anthropic-claude-code-audit.claude-code-action	anthropics/claude-code-action	main	0345b11
BUGS.aqua-audit.aqua	1inch/aqua	main	81c26e4
BUGS.aqua-audit.swap-vm	1inch/swap-vm	release/1.1	e312bcf
BUGS.atomone-audit.atomone	atomone-hub/atomone	main	86a3839
BUGS.atomone-audit.gaia	cosmos/gaia	main	dedb903
BUGS.audit-comp-firelight	immunefi-team/audit-comp-firelight	v1_audit_ready	42f9ea5
BUGS.binance-tsslib-upstream	bnb-chain/tss-lib	master	3f677ff
BUGS.bluefin-coin-audit.source	fireflyprotocol/bluefin-coin-contracts	main	98e6148
BUGS.bluefin-dex-audit.source	audit-labs-audits/bluefin-dex-contracts-v3	main	cbf3252
BUGS.bridge-contracts-whitechain	whitechain-labs/bridge-contracts	main	a9b7a82
BUGS.bundler3	morpho-org/bundler3	main	93680c39
BUGS.clearmacro-audit.sherlock-repo	sherlock-audit/2026-04-macro-SatisLoeb	main	27497c5
BUGS.coinbase-commerce-payments-audit.cp-repo	base/commerce-payments	main	3f77761
BUGS.coinbase-eip7702-audit.ep-repo	base/eip-7702-proxy	main	429ba3c
BUGS.coinbase-flywheel-audit.flywheel-repo	base/flywheel	main	1dcd3f8
BUGS.coinbase-spend-permissions-audit.sp-repo	coinbase/spend-permissions	main	e0004e6
BUGS.cosmos-sdk	cosmos/cosmos-sdk	main	0da9e85a31
BUGS.decentraland.offchain-marketplace-contract	decentraland/offchain-marketplace-contract	main	87350c6
BUGS.DEX-Router-EVM-V1	okxlabs/DEX-Router-EVM-V1	main	1fc1508
BUGS.DEX-Router-Solana-V1	okxlabs/DEX-Router-Solana-V1	main	677d3ec
BUGS.dydx-cosmos-sdk	dydxprotocol/cosmos-sdk	dydx-fork-v0.50.5	a212821
BUGS.ENS_Audit.ens-contracts	ensdomains/ens-contracts	staging	5106b24
BUGS.ens-contracts	ensdomains/ens-contracts	staging	5106b24
BUGS.euler-v2-recon.ethereum-vault-connector	euler-xyz/ethereum-vault-connector	master	34bb788
BUGS.euler-v2-recon.euler-earn	euler-xyz/euler-earn	master	b2fd6e6
BUGS.euler-v2-recon.euler-price-oracle	euler-xyz/euler-price-oracle	master	abfbfc9
BUGS.euler-v2-recon.euler-swap	euler-xyz/euler-swap	master	dd936d2
BUGS.euler-v2-recon.euler-vault-kit	euler-xyz/euler-vault-kit	master	5b98b42
BUGS.euler-v2-recon.evk-periphery	euler-xyz/evk-periphery	development	2f8b7947
BUGS.euler-v2-recon.fee-flow	euler-xyz/fee-flow	main	3bee858
BUGS.euler-v2-recon.reward-streams	euler-xyz/reward-streams	master	a63c358
BUGS.feign-reactive	PlaytikaOSS/feign-reactive	develop	6c87411
BUGS.frost-dalek-hunt-audit.frost	ZcashFoundation/frost	main	2016e44
BUGS.galagames-audit.GalaChain_sdk	GalaChain/sdk	main	c7c4be6
BUGS.gmx-solana-audits	gmsol-labs/gmx-solana-audits	main	39c69cc
BUGS.go-ethereum	morph-l2/go-ethereum	main	7dbf812
BUGS.granite-audit.core-v1	GraniteProtocol/core-v1	master	518603e
BUGS.iavl	cosmos/iavl	master	0b9d3da
BUGS.ibc-go	cosmos/ibc-go	main	3e8ac32
BUGS.init-recon.c4-audit	code-423n4/2024-01-init-capital-invitational	main	a01c4de
BUGS.init-recon.init-core-latest	init-capital/init-core-public	master	658b0ba
BUGS.init-recon.init-core-public	init-capital/init-core-public	master	658b0ba
BUGS.init-recon.liquidity-hooks	init-capital/liquidity-hooks	main	b4542dd
BUGS.layer3-recon.cubes	layer3xyz/cubes	main	5d983ed
BUGS.layerzero-stellar-recon.2026-04-layerzero	code-423n4/2026-04-layerzero	main	faf1c69
BUGS.layerzero-stellar-recon.devtools	LayerZero-Labs/devtools	main	128b697
BUGS.layerzero-stellar-recon.LayerZero-v2	LayerZero-Labs/LayerZero-v2	main	9c741e7
BUGS.lz-starknet-ref	code-423n4/2025-10-layerzero	main	6ac4235
BUGS.lz-sui-ref	code-423n4/2025-09-layerzero	main	b49bbb2
BUGS.maven-plugins	PlaytikaOSS/maven-plugins	develop	be1486c
BUGS.metamorpho-v1.1	morpho-org/metamorpho-v1.1	main	f544b7a
BUGS.morpho-blue-liquidation-bot	morpho-org/morpho-blue-liquidation-bot	main	19235bb
BUGS.morpho-webapp-audit.sdks	morpho-org/sdks	main	cdc0f340
BUGS.multipli-recon.Barebones-MultipliVault	multipli-libs/Barebones-MultipliVault	v2	3c37f80
BUGS.nado-audit.nado-contracts	nadohq/nado-contracts	main	c3a0f0e
BUGS.nado-audit.vertex-parent	vertex-protocol/vertex-contracts	main	e138181
BUGS.near-core-contracts	near/core-contracts	master	c0fec3b
BUGS.originprotocol-web.origin-defi	OriginProtocol/origin-defi	main	7850cbe
BUGS.pendle-v2	pendle-finance/pendle-core-v2-public	main	fdcfe39e
BUGS.polymarket-recon.contract-security	Polymarket/contract-security	main	1daf8d5
BUGS.polymarket-recon.ctf-exchange	Polymarket/ctf-exchange	main	80cbf37
BUGS.polymarket-recon.ctf-exchange-v2	Polymarket/ctf-exchange-v2	main	ccc0596
BUGS.polymarket-recon.exchange-fee-module	Polymarket/exchange-fee-module	main	1a3c31c
BUGS.polymarket-recon.neg-risk-ctf-adapter	Polymarket/neg-risk-ctf-adapter	main	f78b35b
BUGS.polymarket-recon.proxy-factories	Polymarket/proxy-factories	main	7137c02
BUGS.polymarket-recon.uma-ctf-adapter	Polymarket/uma-ctf-adapter	main	8b76cc9
BUGS.proconnect-identite	numerique-gouv/proconnect-identite	main	0dbc99fa
BUGS.proconnect-identite.okx-dex-evm	okxlabs/DEX-Router-EVM-V1	main	1fc1508
BUGS.protobufjs-audit.protobuf.js	protobufjs/protobuf.js	fix/overlong-utf8-decode	366d608
BUGS.public-allocator	morpho-org/public-allocator	main	51f92e5
BUGS.rapidoc-spring-boot	PlaytikaOSS/rapidoc-spring-boot	main	2c79647
BUGS.request-finance-recon	SatisLoeb/request-finance-recon	master	7a72ac2
BUGS.reserve-fillers	reserve-protocol/trusted-fillers	main	aed6172
BUGS.sbtc-audit	stacks-network/sbtc	main	9bea9fd
BUGS.sdks	morpho-org/sdks	main	cdba338
BUGS.shapeshift-recon.unchained	shapeshift/unchained	develop	fd48a7bc
BUGS.shepherd	PlaytikaOSS/shepherd	develop	97e45bf
BUGS.spark-immunefi.spark-alm-controller	marsfoundation/spark-alm-controller	dev	ce5cbd9
BUGS.spark-immunefi.spark-gov-relay	marsfoundation/spark-gov-relay	master	6218d57
BUGS.spark-immunefi.spark-interface	sparkdotfi/spark-interface	spark	d5e5655
BUGS.spark-immunefi.spark-psm	marsfoundation/spark-psm	master	2b1a72a
BUGS.spark-immunefi.spark-vaults-v2	sparkdotfi/spark-vaults-v2	dev	51c6d7a
BUGS.spark-immunefi.xchain-ssr-oracle	marsfoundation/xchain-ssr-oracle	master	4a23d1f
BUGS.succinct-audit.c4-repo	code-423n4/2025-09-succinct	main	3b93061
BUGS.succinct-audit.sp1-contracts	succinctlabs/sp1-contracts	main	22c4a47
BUGS.swap-io-audit.raydium-clmm	raydium-io/raydium-clmm	master	a5a46ff
BUGS.testcontainers-sb	PlaytikaOSS/testcontainers-spring-boot	develop	0a17e29
BUGS.threshold-signatures	near/threshold-signatures	main	a09466a
BUGS.trufin-audit.smart-contracts-aptos-public	TruFin-io/smart-contracts-aptos-public	main	b4c7b99
BUGS.trufin-audit.smart-contracts-cosmos-public	TruFin-io/smart-contracts-cosmos-public	main	76b4975
BUGS.trufin-audit.smart-contracts-near-public	TruFin-io/smart-contracts-near-public	main	208f629
BUGS.trufin-audit.smart-contracts-public	TruFin-io/smart-contracts-public	main	1b2f142
BUGS.trufin-audit.smart-contracts-solana-public	TruFin-io/smart-contracts-solana-public	main	ce5d88b
BUGS.universal-rewards-distributor	morpho-org/universal-rewards-distributor	main	3de504b
BUGS.vercel-recon.ai	vercel/ai	main	07d4ce6b
BUGS.vercel-recon.flags	vercel/flags	main	eafa640
BUGS.vercel-recon.kit	sveltejs/kit	main	56c921d
BUGS.vercel-recon.ms	vercel/ms	main	6ec025f
BUGS.vercel-recon.next.js	vercel/next.js	canary	01f7cd13
BUGS.vercel-recon.nitro	nitrojs/nitro	main	55f30f4
BUGS.vercel-recon.nuxt	nuxt/nuxt	main	a00ad0d
BUGS.vercel-recon.skills	vercel-labs/skills	main	10438af
BUGS.vercel-recon.svelte	sveltejs/svelte	main	e402b2d
BUGS.vercel-recon.vercel	vercel/vercel	main	9375048
BUGS.vercel-recon.workflow	vercel/workflow	main	e574ad2
BUGS.Web3-DEX-EVM-PMM	okxlabs/Web3-DEX-EVM-PMM	main	49b8f14
BUGS.web-corpus.vrt	bugcrowd/vulnerability-rating-taxonomy	master	211dc55
BUGS.xrpl-attackathon.2026-04-xrp-ledger-april-2026-SatisLoeb	sherlock-audit/2026-04-xrp-ledger-april-2026-SatisLoeb	main	413ce90
BUGS.yield-basis	yield-basis/yb-core	master	41137e5
BUGS.zetachain-gotss	zeta-chain/go-tss	master	a0868ab
BUGS.zetachain-tsslib	zeta-chain/tss-lib	threshold-dep-updates	2e6b438
D-cve.alchemix-v3.repo	alchemix-finance/v3	master	ea6f58b
D-cve.lombard.evm-smart-contracts	lombard-finance/evm-smart-contracts	main	7fe83e5
D-cve.stacks.stacks-core	stacks-network/stacks-core	main	9d4050742
D-cve.strata.repo	Strata-Markets/contracts	tranches	2be97f9
D-cve.tenbin.repo	tenbinlabs/tenbin-contracts	master	031df2d
D-cve.termstructure.termmax-contract-v2	term-structure/termmax-contract-v2	main	e314f3f
