id	repo_path	remote	branch	baseline_head	baseline_date	has_dossier	watch_globs	triggers
BlackBox	BlackBox	SatisLoeb/blackbox	ssv-network-audit	466cf5b3	2026-09-04	no	contracts/,src/	
BlackBox.cosmos.cosmos-sdk	BlackBox/cosmos/cosmos-sdk	cosmos/cosmos-sdk	main	c1126e4e5	2026-09-04	no	contracts/,src/	
BlackBox.cosmos.evm	BlackBox/cosmos/evm	cosmos/evm	DETACHED	c3ae9067	2026-09-03	no	contracts/,src/	
BlackBox.cosmos.ibc-go	BlackBox/cosmos/ibc-go	cosmos/ibc-go	main	3e8ac32f	2026-09-03	no	contracts/,src/	
BlackBox.cosmos.wasmd	BlackBox/cosmos/wasmd	CosmWasm/wasmd	main	b640bb6	2026-07-28	no	contracts/,src/	
BlackBox.cosmos.wasmvm	BlackBox/cosmos/wasmvm	CosmWasm/wasmvm	main	c934a5f	2026-05-22	no	contracts/,src/	
BUGS	BUGS	https://srv1683579.hstgr.cloud/malix/bugs	hedera-immunefi-2026-08	80fcbe0ea	2026-09-04	yes	contracts/,src/	
BUGS.1inch-aqua-audit.aqua	BUGS/1inch-aqua-audit/aqua	1inch/aqua	main	81c26e4	2026-03-17	yes	contracts/,src/	
BUGS.1inch-aqua-audit.swap-vm	BUGS/1inch-aqua-audit/swap-vm	1inch/swap-vm	DETACHED	3aa9208	2026-06-01	yes	contracts/,src/	
BUGS.alphasec-audit.nitro-ref	BUGS/alphasec-audit/nitro-ref	OffchainLabs/nitro-contracts	DETACHED	11a5962	2025-06-17	yes	contracts/,src/	
BUGS.alphasec-audit.tbc-ref	BUGS/alphasec-audit/tbc-ref	OffchainLabs/token-bridge-contracts	main	0746a71	2026-03-13	yes	contracts/,src/	
BUGS.anthropic-claude-code-audit.claude-code	BUGS/anthropic-claude-code-audit/claude-code	anthropics/claude-code	main	2962ecd	2026-05-18	yes	contracts/,src/	
BUGS.anthropic-claude-code-audit.claude-code-action	BUGS/anthropic-claude-code-audit/claude-code-action	anthropics/claude-code-action	main	0345b11	2026-05-18	yes	contracts/,src/	
BUGS.aqua-audit.aqua	BUGS/aqua-audit/aqua	1inch/aqua	main	81c26e4	2026-03-17	yes	contracts/,src/	
BUGS.aqua-audit.swap-vm	BUGS/aqua-audit/swap-vm	1inch/swap-vm	release/1.1	e312bcf	2026-04-17	yes	contracts/,src/	
BUGS.atomone-audit.atomone	BUGS/atomone-audit/atomone	atomone-hub/atomone	main	86a3839	2026-04-17	yes	contracts/,src/	
BUGS.atomone-audit.gaia	BUGS/atomone-audit/gaia	cosmos/gaia	main	dedb903	2026-04-09	yes	contracts/,src/	
BUGS.audit-comp-firelight	BUGS/audit-comp-firelight	immunefi-team/audit-comp-firelight	v1_audit_ready	42f9ea5	2026-07-31	yes	contracts/,src/	
BUGS.axal-verified-signer	BUGS/axal-verified-signer	getaxal/verified-signer	DETACHED	4159bad	2025-07-31	yes	contracts/,src/	
BUGS.binance-tsslib-upstream	BUGS/binance-tsslib-upstream	bnb-chain/tss-lib	master	3f677ff	2026-04-09	yes	contracts/,src/	
BUGS.bluefin-coin-audit.source	BUGS/bluefin-coin-audit/source	fireflyprotocol/bluefin-coin-contracts	main	98e6148	2024-12-06	yes	contracts/,src/	
BUGS.bluefin-dex-audit.source	BUGS/bluefin-dex-audit/source	audit-labs-audits/bluefin-dex-contracts-v3	main	cbf3252	2025-06-24	yes	contracts/,src/	
BUGS.bridge-contracts-whitechain	BUGS/bridge-contracts-whitechain	whitechain-labs/bridge-contracts	main	a9b7a82	2025-12-16	yes	contracts/,src/	
BUGS.bundler3	BUGS/bundler3	morpho-org/bundler3	main	93680c39	2025-12-18	yes	contracts/,src/	
BUGS.centrifuge-audit.protocol	BUGS/centrifuge-audit/protocol	centrifuge/protocol	DETACHED	6b9d36e	2026-01-13	yes	contracts/,src/	
BUGS.clearmacro-audit.sherlock-repo	BUGS/clearmacro-audit/sherlock-repo	sherlock-audit/2026-04-macro-SatisLoeb	main	27497c5	2026-04-11	yes	contracts/,src/	
BUGS.coinbase-commerce-payments-audit.cp-repo	BUGS/coinbase-commerce-payments-audit/cp-repo	base/commerce-payments	main	3f77761	2025-08-01	yes	contracts/,src/	
BUGS.coinbase-eip7702-audit.ep-repo	BUGS/coinbase-eip7702-audit/ep-repo	base/eip-7702-proxy	main	429ba3c	2025-06-26	yes	contracts/,src/	
BUGS.coinbase-flywheel-audit.flywheel-repo	BUGS/coinbase-flywheel-audit/flywheel-repo	base/flywheel	main	1dcd3f8	2025-12-19	yes	contracts/,src/	
BUGS.coinbase-spend-permissions-audit.sp-repo	BUGS/coinbase-spend-permissions-audit/sp-repo	coinbase/spend-permissions	main	e0004e6	2026-03-24	yes	contracts/,src/	
BUGS.cosmos-sdk	BUGS/cosmos-sdk	cosmos/cosmos-sdk	main	0da9e85a31	2026-03-04	yes	contracts/,src/	
BUGS.decentraland.offchain-marketplace-contract	BUGS/decentraland/offchain-marketplace-contract	decentraland/offchain-marketplace-contract	main	87350c6	2026-08-06	yes	contracts/,src/	
BUGS.DEX-Router-EVM-V1	BUGS/DEX-Router-EVM-V1	okxlabs/DEX-Router-EVM-V1	main	1fc1508	2025-12-02	yes	contracts/,src/	
BUGS.DEX-Router-Solana-V1	BUGS/DEX-Router-Solana-V1	okxlabs/DEX-Router-Solana-V1	main	677d3ec	2026-02-01	yes	contracts/,src/	
BUGS.dydx-cosmos-sdk	BUGS/dydx-cosmos-sdk	dydxprotocol/cosmos-sdk	dydx-fork-v0.50.5	a212821	2026-04-28	yes	contracts/,src/	
BUGS.ENS_Audit.ens-contracts	BUGS/ENS_Audit/ens-contracts	ensdomains/ens-contracts	staging	5106b24	2026-02-05	yes	contracts/,src/	
BUGS.ens-contracts	BUGS/ens-contracts	ensdomains/ens-contracts	staging	5106b24	2026-02-05	yes	contracts/,src/	
BUGS.euler-v2-recon.ethereum-vault-connector	BUGS/euler-v2-recon/ethereum-vault-connector	euler-xyz/ethereum-vault-connector	master	34bb788	2025-06-16	yes	contracts/,src/	
BUGS.euler-v2-recon.euler-earn	BUGS/euler-v2-recon/euler-earn	euler-xyz/euler-earn	master	b2fd6e6	2025-10-22	yes	contracts/,src/	
BUGS.euler-v2-recon.euler-price-oracle	BUGS/euler-v2-recon/euler-price-oracle	euler-xyz/euler-price-oracle	master	abfbfc9	2026-03-17	yes	contracts/,src/	
BUGS.euler-v2-recon.euler-swap	BUGS/euler-v2-recon/euler-swap	euler-xyz/euler-swap	master	dd936d2	2026-01-21	yes	contracts/,src/	
BUGS.euler-v2-recon.euler-vault-kit	BUGS/euler-v2-recon/euler-vault-kit	euler-xyz/euler-vault-kit	master	5b98b42	2025-03-05	yes	contracts/,src/	
BUGS.euler-v2-recon.evk-periphery	BUGS/euler-v2-recon/evk-periphery	euler-xyz/evk-periphery	development	2f8b7947	2026-03-22	yes	contracts/,src/	
BUGS.euler-v2-recon.fee-flow	BUGS/euler-v2-recon/fee-flow	euler-xyz/fee-flow	main	3bee858	2025-06-11	yes	contracts/,src/	
BUGS.euler-v2-recon.reward-streams	BUGS/euler-v2-recon/reward-streams	euler-xyz/reward-streams	master	a63c358	2025-03-05	yes	contracts/,src/	
BUGS.feign-reactive	BUGS/feign-reactive	PlaytikaOSS/feign-reactive	develop	6c87411	2026-03-03	yes	contracts/,src/	
BUGS.frost-dalek-hunt-audit.frost	BUGS/frost-dalek-hunt-audit/frost	ZcashFoundation/frost	main	2016e44	2026-04-23	yes	contracts/,src/	
BUGS.galagames-audit.GalaChain_sdk	BUGS/galagames-audit/GalaChain_sdk	GalaChain/sdk	main	c7c4be6	2026-08-06	yes	contracts/,src/	
BUGS.gmx-solana-audits	BUGS/gmx-solana-audits	gmsol-labs/gmx-solana-audits	main	39c69cc	2026-04-02	yes	contracts/,src/	
BUGS.go-ethereum	BUGS/go-ethereum	morph-l2/go-ethereum	main	7dbf812	2026-06-18	yes	contracts/,src/	
BUGS.granite-audit.core-v1	BUGS/granite-audit/core-v1	GraniteProtocol/core-v1	master	518603e	2026-08-14	yes	contracts/,src/	
BUGS.iavl	BUGS/iavl	cosmos/iavl	master	0b9d3da	2026-05-18	yes	contracts/,src/	
BUGS.ibc-go	BUGS/ibc-go	cosmos/ibc-go	main	3e8ac32	2026-09-03	yes	contracts/,src/	
BUGS.init-recon.c4-audit	BUGS/init-recon/c4-audit	code-423n4/2024-01-init-capital-invitational	main	a01c4de	2024-01-25	yes	contracts/,src/	
BUGS.init-recon.init-core-latest	BUGS/init-recon/init-core-latest	init-capital/init-core-public	master	658b0ba	2024-06-13	yes	contracts/,src/	
BUGS.init-recon.init-core-public	BUGS/init-recon/init-core-public	init-capital/init-core-public	master	658b0ba	2024-06-13	yes	contracts/,src/	
BUGS.init-recon.liquidity-hooks	BUGS/init-recon/liquidity-hooks	init-capital/liquidity-hooks	main	b4542dd	2024-10-21	yes	contracts/,src/	
BUGS.init-recon.pocs	BUGS/init-recon/pocs	none	master			yes	contracts/,src/	
BUGS.layer3-recon.cubes	BUGS/layer3-recon/cubes	layer3xyz/cubes	main	5d983ed	2025-11-05	yes	contracts/,src/	
BUGS.layerzero-stellar-recon.2026-04-layerzero	BUGS/layerzero-stellar-recon/2026-04-layerzero	code-423n4/2026-04-layerzero	main	faf1c69	2026-04-01	yes	contracts/,src/	
BUGS.layerzero-stellar-recon.devtools	BUGS/layerzero-stellar-recon/devtools	LayerZero-Labs/devtools	main	128b697	2026-02-27	yes	contracts/,src/	
BUGS.layerzero-stellar-recon.LayerZero-v2	BUGS/layerzero-stellar-recon/LayerZero-v2	LayerZero-Labs/LayerZero-v2	main	9c741e7	2026-02-27	yes	contracts/,src/	
BUGS.liquity-v2-recon.bold	BUGS/liquity-v2-recon/bold	liquity/bold	DETACHED	ac91fda2	2025-06-11	yes	contracts/,src/	
BUGS.liquity-v2-recon.V2-gov	BUGS/liquity-v2-recon/V2-gov	liquity/V2-gov	DETACHED	ba3bcbb	2025-06-13	yes	contracts/,src/	
BUGS.lz-starknet-ref	BUGS/lz-starknet-ref	code-423n4/2025-10-layerzero	main	6ac4235	2026-01-16	yes	contracts/,src/	
BUGS.lz-sui-ref	BUGS/lz-sui-ref	code-423n4/2025-09-layerzero	main	b49bbb2	2025-12-12	yes	contracts/,src/	
BUGS.maven-plugins	BUGS/maven-plugins	PlaytikaOSS/maven-plugins	develop	be1486c	2026-03-23	yes	contracts/,src/	
BUGS.metamorpho-v1.1	BUGS/metamorpho-v1.1	morpho-org/metamorpho-v1.1	main	f544b7a	2025-12-18	yes	contracts/,src/	
BUGS.morpho-blue-liquidation-bot	BUGS/morpho-blue-liquidation-bot	morpho-org/morpho-blue-liquidation-bot	main	19235bb	2026-03-24	yes	contracts/,src/	
BUGS.morpho-blue-rewards-emissions	BUGS/morpho-blue-rewards-emissions	morpho-org/morpho-blue-rewards-emissions	DETACHED	c351748	2024-03-02	yes	contracts/,src/	
BUGS.morpho-webapp-audit.sdks	BUGS/morpho-webapp-audit/sdks	morpho-org/sdks	main	cdc0f340	2026-03-26	yes	contracts/,src/	
BUGS.multipli-recon.Barebones-MultipliVault	BUGS/multipli-recon/Barebones-MultipliVault	multipli-libs/Barebones-MultipliVault	v2	3c37f80	2026-01-16	yes	contracts/,src/	
BUGS.nado-audit.nado-contracts	BUGS/nado-audit/nado-contracts	nadohq/nado-contracts	main	c3a0f0e	2026-03-26	yes	contracts/,src/	
BUGS.nado-audit.vertex-parent	BUGS/nado-audit/vertex-parent	vertex-protocol/vertex-contracts	main	e138181	2025-05-14	yes	contracts/,src/	
BUGS.near-core-contracts	BUGS/near-core-contracts	near/core-contracts	master	c0fec3b	2026-02-04	yes	contracts/,src/	
BUGS.originprotocol-web.origin-defi	BUGS/originprotocol-web/origin-defi	OriginProtocol/origin-defi	main	7850cbe	2025-04-10	yes	contracts/,src/	
BUGS.overlayer-recon.contracts	BUGS/overlayer-recon/contracts	Overlayerfi/contracts	DETACHED	519c9e9	2026-03-11	yes	contracts/,src/	
BUGS.pendle-v2	BUGS/pendle-v2	pendle-finance/pendle-core-v2-public	main	fdcfe39e	2026-03-10	yes	contracts/,src/	
BUGS.polymarket-recon.contract-security	BUGS/polymarket-recon/contract-security	Polymarket/contract-security	main	1daf8d5	2026-06-03	yes	contracts/,src/	
BUGS.polymarket-recon.ctf-exchange	BUGS/polymarket-recon/ctf-exchange	Polymarket/ctf-exchange	main	80cbf37	2026-02-02	yes	contracts/,src/	
BUGS.polymarket-recon.ctf-exchange-v2	BUGS/polymarket-recon/ctf-exchange-v2	Polymarket/ctf-exchange-v2	main	ccc0596	2026-04-13	yes	contracts/,src/	
BUGS.polymarket-recon.exchange-fee-module	BUGS/polymarket-recon/exchange-fee-module	Polymarket/exchange-fee-module	main	1a3c31c	2026-01-05	yes	contracts/,src/	
BUGS.polymarket-recon.neg-risk-ctf-adapter	BUGS/polymarket-recon/neg-risk-ctf-adapter	Polymarket/neg-risk-ctf-adapter	main	f78b35b	2026-01-08	yes	contracts/,src/	
